file,relative_path,column_position,column,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_min,sample_max,possible_date_or_timestamp,timestamp_precision,column_class,data_layer,sample_values
taq.csv,data\raw\taq\taq.csv,11,QTime_4pm,str,1000,0,0.0,359,10:29:42,16:00:00,True,millisecond,QUOTE_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:56:23 | 15:55:10 | 14:53:33 | 15:50:31 | 15:59:18 | 14:18:15 | 15:59:22 | 15:21:38 | 15:40:50 | 15:53:36
taq.csv,data\raw\taq\taq.csv,12,BB_4pm,float64,1000,0,0.0,241,22.5,88.375,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.75 | 50.25 | 49.5 | 50.0 | 48.5 | 47.0 | 48.0 | 48.25 | 49.0 | 51.25
taq.csv,data\raw\taq\taq.csv,13,BO_4pm,float64,1000,0,0.0,245,22.75,88.5,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 48.75 | 47.25 | 48.25 | 48.5 | 50.25 | 50.0 | 49.5
taq.csv,data\raw\taq\taq.csv,14,Mid_4pm,float64,1000,0,0.0,355,22.625,88.4375,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.875 | 50.375 | 49.625 | 50.25 | 48.625 | 47.125 | 48.125 | 48.375 | 50.125 | 49.75
taq.csv,data\raw\taq\taq.csv,15,LQTime,str,1000,0,0.0,825,10:29:42,19:09:12,True,millisecond,QUOTE_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:56:23 | 15:55:10 | 14:53:33 | 15:50:31 | 15:59:18 | 14:18:15 | 15:59:22 | 15:21:38 | 15:40:50 | 15:53:36
taq.csv,data\raw\taq\taq.csv,16,LBB,float64,1000,0,0.0,243,22.5,88.375,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.75 | 50.25 | 49.5 | 50.0 | 48.5 | 47.0 | 48.0 | 48.25 | 49.0 | 51.25
taq.csv,data\raw\taq\taq.csv,17,LBO,float64,1000,0,0.0,247,22.75,88.5,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 48.75 | 47.25 | 48.25 | 48.5 | 50.25 | 50.0 | 49.5
taq.csv,data\raw\taq\taq.csv,18,LMid,float64,1000,0,0.0,360,22.625,88.4375,False,,QUOTE_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.875 | 50.375 | 49.625 | 50.25 | 48.625 | 47.125 | 48.125 | 48.375 | 50.125 | 49.75
taq.csv,data\raw\taq\taq.csv,19,OTime,str,1000,0,0.0,370,10:26:29,9:57:22,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,9:30:06 | 9:30:10 | 9:30:07 | 9:30:03 | 9:30:02 | 9:30:26 | 9:30:05 | 9:30:14 | 9:30:18 | 9:30:04
taq.csv,data\raw\taq\taq.csv,20,OPrice,float64,1000,0,0.0,243,22.625,87.625,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,50.0 | 49.0 | 49.5 | 50.5 | 48.25 | 48.5 | 48.75 | 50.25 | 49.25 | 49.75
taq.csv,data\raw\taq\taq.csv,21,DTime,str,1000,0,0.0,148,12:59:34,15:59:59,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
taq.csv,data\raw\taq\taq.csv,22,DPrice,float64,1000,0,0.0,259,22.75,88.375,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 50.0 | 48.25 | 48.75 | 47.0 | 48.375 | 49.25 | 50.25
taq.csv,data\raw\taq\taq.csv,23,Vol_oc,int64,1000,0,0.0,980,101300,18895300,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,1484800 | 1377300 | 1449700 | 702100 | 1402900 | 1424100 | 1835000 | 6093800 | 1892400 | 2086500
taq.csv,data\raw\taq\taq.csv,24,Value_oc,float64,1000,0,0.0,1000,4336862.5,628687775.0,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,73357750.0 | 67990562.5 | 72228875.0 | 35270500.0 | 70449200.0 | 68671012.5 | 87419037.5 | 293522262.5 | 92003237.5 | 102096112.5
taq.csv,data\raw\taq\taq.csv,25,LTTime,str,985,15,0.015,758,13:07:16,17:15:02,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,16:26:12 | 16:26:31 | 17:00:19 | 16:35:53 | 16:23:53 | 16:35:38 | 17:13:00 | 17:04:04 | 16:24:48 | 16:38:09
taq.csv,data\raw\taq\taq.csv,26,LPrice,float64,985,15,0.015,269,22.5,88.375,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,48.875 | 50.75 | 50.25 | 49.125 | 48.5 | 47.25 | 48.0 | 48.75 | 49.5 | 49.75
taq.csv,data\raw\taq\taq.csv,27,TTime_1pm,str,1000,0,0.0,193,12:42:48,12:59:59,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,12:59:57 | 12:59:36 | 12:59:56 | 12:59:25 | 12:58:26 | 12:59:04 | 12:59:21 | 12:59:43 | 12:58:59 | 12:59:50
taq.csv,data\raw\taq\taq.csv,28,Price_1pm,float64,1000,0,0.0,255,22.5,88.25,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.5 | 48.875 | 50.125 | 50.75 | 48.0 | 47.75 | 48.5 | 48.625 | 50.25 | 50.5
taq.csv,data\raw\taq\taq.csv,29,TTime_4pm,str,1000,0,0.0,148,13:07:16,15:59:59,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
taq.csv,data\raw\taq\taq.csv,30,Price_4pm,float64,1000,0,0.0,259,22.75,88.375,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 50.0 | 48.25 | 48.75 | 47.0 | 48.375 | 49.25 | 50.25
taq.csv,data\raw\taq\taq.csv,31,CPrc,float64,1000,0,0.0,257,22.75,88.375,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 50.0 | 48.25 | 48.75 | 47.0 | 48.375 | 49.25 | 50.25
taq.csv,data\raw\taq\taq.csv,32,CTime,str,1000,0,0.0,283,12:10:46,16:06:41,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
taq.csv,data\raw\taq\taq.csv,33,CPrc2,float64,1000,0,0.0,257,22.75,88.375,False,,TRADE_OR_EVENT_PRICE,EVENT_OR_SNAPSHOT_FIELD,49.0 | 50.5 | 49.75 | 50.0 | 48.25 | 48.75 | 47.0 | 48.375 | 49.25 | 50.25
taq.csv,data\raw\taq\taq.csv,34,CTime2,str,1000,0,0.0,283,12:10:46,16:06:41,True,millisecond,TRADE_OR_EVENT_TIMESTAMP,EVENT_OR_SNAPSHOT_FIELD,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
taq.csv,data\raw\taq\taq.csv,35,Ret_pre_t,float64,38,962,0.962,29,-0.022884294,0.0209431738,False,,MARKET_STATISTIC,DERIVED_OR_AGGREGATED_FIELD,0.0209431738 | 0.0 | -0.004705891 | -0.004535155 | -0.004415018 | -0.005115101 | 0.0061919702 | 0.0031007777 | 0.0065574005 | -0.008888947
taq.csv,data\raw\taq\taq.csv,36,Ret_mkt_t,float64,1000,0,0.0,742,-0.074107972,0.1035406789,False,,MARKET_STATISTIC,DERIVED_OR_AGGREGATED_FIELD,-0.020202707 | 0.0301530382 | -0.005012542 | 0.0100503359 | -0.045577508 | 0.0103093697 | -0.026248226 | 0.0 | -0.002580647 | 0.025317808
taq.csv,data\raw\taq\taq.csv,37,Ret_post_t,float64,142,858,0.858,41,-0.025398191,0.0264916154,False,,MARKET_STATISTIC,DERIVED_OR_AGGREGATED_FIELD,0.0100000833 | 0.0053050522 | -0.005194817 | 0.0069204428 | 0.0098040001 | 0.0 | 0.0264916154 | 0.0035149421 | 0.0090498355 | -0.00896867
taq.csv,data\raw\taq\taq.csv,38,MFCount,int64,1000,0,0.0,137,0,4799,False,,OBSERVATION_COUNT,DERIVED_OR_AGGREGATED_FIELD,12 | 23 | 22 | 15 | 50 | 47 | 60 | 63 | 21 | 26
taq.csv,data\raw\taq\taq.csv,39,NumTrades_t,int64,1000,0,0.0,707,118,11908,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,1032 | 922 | 776 | 661 | 1037 | 1087 | 1448 | 2182 | 1012 | 1055
taq.csv,data\raw\taq\taq.csv,40,NumTrades_m,int64,1000,0,0.0,733,114,11821,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,1019 | 901 | 769 | 641 | 987 | 1065 | 1372 | 2157 | 993 | 1037
taq.csv,data\raw\taq\taq.csv,41,SumVolume_t,int64,1000,0,0.0,972,105900,19138600,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,1503300 | 1454000 | 1459200 | 830800 | 1468600 | 1518400 | 1952700 | 6132100 | 2034500 | 2143300
taq.csv,data\raw\taq\taq.csv,42,SumVolume_m,int64,1000,0,0.0,979,101300,18895900,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,1484800 | 1377300 | 1449700 | 702100 | 1402900 | 1424100 | 1835000 | 6093800 | 1892400 | 2086500
taq.csv,data\raw\taq\taq.csv,43,SumValue_b,float64,1000,0,0.0,38,0.0,472500.0,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,0.0 | 472500.0 | 73875.0 | 371500.0 | 386750.0 | 21900.0 | 11350.0 | 63700.0 | 42250.0 | 83500.0
taq.csv,data\raw\taq\taq.csv,44,SumValue_m,float64,1000,0,0.0,1000,4336862.5,628687775.0,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,73357750.0 | 67990562.5 | 72228875.0 | 35270500.0 | 70449200.0 | 68671012.5 | 87419037.5 | 293522262.5 | 92003237.5 | 102096112.5
taq.csv,data\raw\taq\taq.csv,45,NumISOTrades_m,int64,1000,0,0.0,1,0,0,False,,OTHER,UNCLASSIFIED,0
taq.csv,data\raw\taq\taq.csv,46,SumISOVolume_m,int64,1000,0,0.0,1,0,0,False,,TRADING_ACTIVITY,DERIVED_OR_AGGREGATED_FIELD,0
