record_type,chunk_number,column,rows_input,rows_output,rows_removed,original_missing_count,cleaned_missing_count,date_parse_failures,time_parse_failures,numeric_conversion_failures,transformation
FIELD_TOTAL,,NumExtremeBid_m,122441,122441,0,40551.0,40551.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,QSpreadDollar_EW_m,122441,122441,0,527.0,527.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,QSpreadPct_EW_m,122441,122441,0,527.0,527.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,QSpreadDollar_TW_m,122441,122441,0,522.0,522.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,QSpreadPct_TW_m,122441,122441,0,522.0,522.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TOfrDollar_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TBidDollar_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TOfrShares_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TBidShares_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BOfrDollar_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BBidDollar_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BOfrShares_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BBidShares_TW_m,122441,122441,0,493.0,493.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,VarianceRatio1,122441,122441,0,820.0,820.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,VarianceRatio2,122441,122441,0,841.0,841.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TSignSqrtDVol1,122441,122441,0,2544.0,2544.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TSignSqrtDVol2,122441,122441,0,2544.0,2544.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NObsUsed1,122441,122441,0,2544.0,2544.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NObsUsed2,122441,122441,0,2544.0,2544.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumTimeUnitsWithTrade1,122441,122441,0,502.0,502.0,0,0,0,PRESERVED_AS_NUMERIC_OBSERVATION_COUNT
FIELD_TOTAL,,NumTimeUnitsWithTrade2,122441,122441,0,502.0,502.0,0,0,0,PRESERVED_AS_NUMERIC_OBSERVATION_COUNT
FIELD_TOTAL,,HIndex1,122441,122441,0,502.0,502.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
