symbol,violation_count,mean_bid_minus_ask,median_bid_minus_ask,max_abs_bid_ask_inversion,quote_set
INTC,2,0.04499999999999993,0.04499999999999993,0.08000000000000185,c1
JNJ,4,0.012499999999997513,0.00999999999999801,0.01999999999999602,c1
KO,2,0.035000000000003695,0.035000000000003695,0.05000000000000426,c1
MA,1,0.03000000000002956,0.03000000000002956,0.03000000000002956,c1
MS,1,0.00999999999999801,0.00999999999999801,0.00999999999999801,c1
NFLX,3,0.030000000000001137,0.030000000000001137,0.05000000000001137,c1
ORCL,2,0.015000000000000568,0.015000000000000568,0.020000000000003126,c1
PEP,2,0.015000000000004121,0.015000000000004121,0.020000000000003126,c1
QQQ,2,0.19000000000000128,0.19000000000000128,0.35999999999999943,c1
SPY,7,0.012857142857141315,0.010000000000005116,0.030000000000001137,c1
UNH,2,0.009999999999999787,0.009999999999999787,0.010000000000001563,c1
V,2,0.03499999999999659,0.03499999999999659,0.04999999999999716,c1
WFC,2,0.009999999999999787,0.009999999999999787,0.010000000000001563,c1
WMT,2,0.00999999999999801,0.00999999999999801,0.00999999999999801,c1
XOM,3,0.013333333333335418,0.010000000000005116,0.01999999999999602,c1
AAPL,9,0.06666666666666604,0.029999999999972715,0.25,4pm
AMZN,2,0.1150000000000091,0.1150000000000091,0.21999999999999886,4pm
BAC,15,0.011333333333333506,0.009999999999999787,0.020000000000000462,4pm
C,34,0.011470588235293717,0.00999999999999801,0.030000000000001137,4pm
CVX,25,0.03119999999999777,0.01999999999999602,0.0899999999999892,4pm
DIS,73,0.013698630136986155,0.00999999999999801,0.05999999999999517,4pm
GE,44,0.0127272727272729,0.010000000000001563,0.029999999999997584,4pm
GOOG,2,0.07499999999998863,0.07499999999998863,0.12000000000000455,4pm
GS,18,0.04666666666666449,0.045000000000001705,0.09999999999999432,4pm
HD,53,0.01301886792452779,0.00999999999999801,0.030000000000001137,4pm
INTC,40,0.013000000000000256,0.010000000000001563,0.08000000000000185,4pm
JNJ,55,0.015454545454545481,0.010000000000005116,0.10999999999999943,4pm
JPM,79,0.013670886075949481,0.00999999999999801,0.05000000000000426,4pm
KO,26,0.014999999999998383,0.010000000000005116,0.0799999999999983,4pm
MA,9,0.17888888888888724,0.0999999999999659,0.6299999999999955,4pm
MS,44,0.013409090909090825,0.010000000000000675,0.04999999999999716,4pm
NFLX,1,0.030000000000001137,0.030000000000001137,0.030000000000001137,4pm
NVDA,36,0.010000000000000083,0.009999999999999787,0.010000000000001563,4pm
ORCL,9,0.0099999999999988,0.00999999999999801,0.010000000000001563,4pm
PEP,25,0.016799999999999784,0.010000000000005116,0.05000000000001137,4pm
PFE,58,0.012758620689655114,0.010000000000001563,0.08999999999999986,4pm
QQQ,15,0.03666666666666742,0.010000000000005116,0.38000000000000256,4pm
SPY,114,0.02000000000000088,0.010000000000005116,0.060000000000002274,4pm
UNH,47,0.017446808510638078,0.010000000000001563,0.17999999999999972,4pm
V,22,0.038181818181815756,0.025000000000005684,0.14999999999999147,4pm
WFC,109,0.01431192660550451,0.010000000000001563,0.05000000000000071,4pm
WMT,75,0.01346666666666626,0.00999999999999801,0.060000000000002274,4pm
XOM,54,0.02888888888888867,0.020000000000003126,0.10000000000000853,4pm
BAC,59,0.040508474576271346,0.019999999999999574,0.15000000000000036,last
C,17,0.017058823529411637,0.010000000000000231,0.040000000000000036,last
CVX,46,0.09304347826086928,0.04000000000000625,0.6700000000000017,last
DIS,16,0.05125000000000046,0.0400000000000027,0.12999999999999545,last
GE,48,0.046458333333333345,0.024999999999999467,0.16000000000000014,last
GS,69,0.34710144927536296,0.12999999999999545,6.710000000000008,last
HD,19,0.04684210526315699,0.029999999999997584,0.18999999999999773,last
